linea, estacion, long, lat
2,Parque Lira,-99.1890935,19.40778057
2,De La Salle,-99.18434811,19.40787377
2,Antonio Maceo,-99.18589104,19.40488542
2,Tacubaya,-99.18704268,19.40393944
2,Patriotismo,-99.17898404,19.40610011
2,Escandón,-99.17387793,19.40441488
2,Nuevo León,-99.16931965,19.40358431
2,Viaducto,-99.1681075,19.4013291
2,Amores,-99.16380302,19.39688765
2,Etiopía-Plaza de la Transparencia,-99.15628193,19.39592862
2,Doctor Vértiz,-99.15171423,19.39561738
2,Centro SCOP,-99.14675596,19.39524941
2,Álamos,-99.14292748,19.3947673
2,Xola,-99.14023317,19.39437135
2,Las Américas,-99.13435178,19.39346942
2,Andrés Molina,-99.12970744,19.3976735
2,La Viga,-99.12461323,19.39811264
2,Coyuya,-99.11678817,19.39827817
2,Metro Coyuya,-99.11314441,19.39840189
2,Canela,-99.10935833,19.39785785
2,Tlacotal,-99.10389964,19.3972193
2,Goma,-99.10001482,19.39689234
2,Iztacalco,-99.09596001,19.39656875
2,UPIICSA,-99.09034764,19.39390198
2,El Rodeo,-99.08710169,19.39166758
2,Río Tecolutla,-99.08314732,19.38907129
2,Río Mayo,-99.08001799,19.38697566
2,Rojo Gómez,-99.07637635,19.38452791
2,Río Frío,-99.07413594,19.38756734
2,Leyes de Reforma,-99.06675365,19.38362751
2,Del Moral,-99.0709182,19.38420542
2,CCH Oriente,-99.06101277,19.38280454
2,Constitución de Apatzingán,-99.05984075,19.38903643
2,Canal de San Juan,-99.05655234,19.39671728
2,Nicolás Bravo,-99.05092228,19.39352647
2,Tepalcates,-99.04721327,19.39041868
2,General Antonio de León,-99.05215313,19.3849832
