linea,estacion,long,lat
A,Pantitlán,-99.074498003397800,19.415170548588200
A,Agrícola Oriental,-99.06931835290875,19.404469384690927
A,Canal de San Juan,-99.05937776281996,19.39878065967639
A,Tepalcates,-99.04628242703909,19.391280244612616
A,Guelatao,-99.0356253621042,19.385116251754894
A,Peñón Viejo,-99.0169772690845,19.37325456396455
A,Acatitla,-99.00565472133616,19.364718204437978
A,Santa Marta,-98.99515847755578,19.360312254844388
A,Los Reyes,-98.97686822147567,19.35905886824206
A,La Paz,-98.96086983931679,19.350413994150514
